"id","sales_date_of_close_id","sales_date_of_start_id","sales_person_id","sales_account_id","sales_location_id","sales_state_id","amount","time_to_close","probability","id1","sales_state"
1712,140,66,7,352,352,6,45210,72,35,6,"Needs Analysis"
1902,153,72,13,390,390,6,85240,69,25,6,"Needs Analysis"
555,58,24,10,120,120,6,56090,71,25,6,"Needs Analysis"
957,74,40,8,200,200,6,1720,13,45,6,"Needs Analysis"
2087,157,78,10,427,427,6,10240,45,70,6,"Needs Analysis"
2920,203,104,5,593,593,6,9830,30,45,6,"Needs Analysis"
2866,217,103,7,583,583,6,120330,76,75,6,"Needs Analysis"
3870,254,131,11,784,784,6,890,11,90,6,"Needs Analysis"
4008,260,135,10,812,812,6,920,15,75,6,"Needs Analysis"
33,3,2,7,8,8,6,1030,11,75,6,"Needs Analysis"
1997,159,75,6,409,409,6,50240,71,60,6,"Needs Analysis"
4352,290,145,11,880,881,6,6050,43,35,6,"Needs Analysis"
4729,311,156,11,955,956,6,5480,32,50,6,"Needs Analysis"
163,24,8,11,36,36,6,2330,55,35,6,"Needs Analysis"
1221,100,49,13,253,253,6,5450,41,90,6,"Needs Analysis"
2554,193,94,5,520,520,6,30300,60,90,6,"Needs Analysis"
3394,229,118,8,689,689,6,1360,11,70,6,"Needs Analysis"
2703,203,98,10,550,550,6,60300,71,25,6,"Needs Analysis"
2451,179,91,12,500,500,6,20270,35,85,6,"Needs Analysis"
4027,262,136,9,816,816,6,1320,13,50,6,"Needs Analysis"
256,30,12,10,60,60,6,10560,52,90,6,"Needs Analysis"
1790,135,68,7,367,367,6,14210,41,45,6,"Needs Analysis"
2426,180,90,6,495,495,6,12270,51,50,6,"Needs Analysis"
3645,250,125,10,739,739,6,2590,32,60,6,"Needs Analysis"
1576,129,61,7,325,325,6,120180,72,75,6,"Needs Analysis"
1760,126,67,12,361,361,6,810,15,25,6,"Needs Analysis"
2367,176,88,11,483,483,6,10270,40,35,6,"Needs Analysis"
2538,177,93,8,517,517,6,1300,11,70,6,"Needs Analysis"
3161,227,111,6,642,642,6,25330,58,45,6,"Needs Analysis"
3742,253,128,8,759,759,6,6090,31,45,6,"Needs Analysis"
4118,277,138,10,834,834,6,10920,50,90,6,"Needs Analysis"
4301,288,144,11,869,870,6,5550,43,35,6,"Needs Analysis"
4462,303,148,5,902,903,6,2850,60,90,6,"Needs Analysis"
336,34,16,5,76,76,6,5160,36,25,6,"Needs Analysis"
1150,105,47,7,239,239,6,120150,68,75,6,"Needs Analysis"
2927,219,104,8,595,595,6,150330,80,35,6,"Needs Analysis"
1825,140,70,10,374,374,6,20210,40,60,6,"Needs Analysis"
3081,217,109,13,626,626,6,2430,37,80,6,"Needs Analysis"
3654,256,125,11,741,741,6,75390,68,80,6,"Needs Analysis"
3874,269,131,10,785,785,6,95390,71,75,6,"Needs Analysis"
4750,318,156,9,959,960,6,2080,53,80,6,"Needs Analysis"
902,79,38,12,189,189,6,2520,45,25,6,"Needs Analysis"
2409,172,89,13,491,491,6,1970,11,45,6,"Needs Analysis"
2617,186,95,12,533,533,6,2200,35,45,6,"Needs Analysis"
3439,237,119,11,698,698,6,5360,32,50,6,"Needs Analysis"
867,74,37,11,182,182,6,5120,35,50,6,"Needs Analysis"
1043,98,43,10,217,217,6,55150,80,85,6,"Needs Analysis"
1972,155,75,10,404,404,6,10740,53,90,6,"Needs Analysis"
802,61,34,10,169,169,6,1420,11,90,6,"Needs Analysis"
