"Category","Description","Expression","Result"
"Numeric / Mathematical Functions","| -245 | is even","ISEVEN(ABS(-245))","false"
"Numeric / Mathematical Functions","14.4 * 22.56 * 10 * 34","PRODUCT(14.4, 22.56, 10, 34)","110,453.76"
"Numeric / Mathematical Functions","Random number between 0 and 1000","1000 * RAND()","26.683"
"Numeric / Mathematical Functions","Factorial of 5","FACT(5)","120"
"Numeric / Mathematical Functions","SQRT(6.25)","SQRT(6.25)","2.50"
"Numeric / Mathematical Functions","Max value in [4,6,2,3,9,4,1,7,3,8]","MAX(4, 6, 2, 3, 9, 4, 1, 7, 3, 8)","9"
"Numeric / Mathematical Functions","123.4567 rounded up to 2 digits after the decimal ","ROUND_UP(123.4567, 2)","123.46"
"Date & Time Functions","Current date","DATEFORMAT(NOW(), ""EEEE, MMM d, yyyy"")","Monday, Sep 11, 2023"
"Date & Time Functions","Current year","YEAR(TODAY())","2023"
"Date & Time Functions","Four months later","DATEFORMAT(EDATE(TODAY(), 4), ""MM/dd/yyyy"")","01/11/2024"
"Date & Time Functions","Five years ago","DATEFORMAT(EDATE(TODAY(), -60), ""MMMM d, yyyy"")","September 11, 2018"
"Date & Time Functions","Current week number","WEEKNUM(TODAY())","37"
"Date & Time Functions","Next working day","DATEFORMAT(WORKDAY(TODAY(),1), ""EEE, MMM dd"")","Tue, Sep 12"
"Date & Time Functions","Years since 2000","YEARS(DATE(2000, 1, 1), NOW())","23"
"Date & Time Functions","Current time","DATEFORMAT(TODAY(), ""hh:mm:ss a"")","12:30:30 AM"
"Text Functions","Concatenate ""Hello"", "" "", ""World""","CONCATENATE(""Hello"", "" "", ""World"")","Hello World"
"Text Functions","Case sensitive search for ""ll' in ""Hello""","""Found on position "" + (FIND(""Hello"", ""ll"") + 1)","Found on position 3"
"Text Functions","Case insensitive search for ""LL"" in ""all""","""Found on position "" + (SEARCH(""LL"", ""all"") + 1)","Found on position 2"
"Text Functions","Lower case for ""Hello WORLD""","LOWER(""Hello WORLD"")","hello world"
"Text Functions","Capitalize each word","PROPER(""Capitalize each word"")","Capitalize Each Word"
"Text Functions","Replicates ""Hello "" three times","REPT(""Hello "", 3)","Hello Hello Hello "
"Text Functions","Substitute ""o"" by ""0"" in ""Hello World""","SUBSTITUTE(""Hello World"", ""o"", ""0"")","Hell0 W0rld"
"Text Functions","Extract ""orl"" from ""Hello World""","MID(""Hello World"", 8, 3)","orl"
"Logical Functions","This is true.","TRUE()","true"
"Logical Functions","This is false.","FALSE()","false"
"Logical Functions","3 < 5 AND 3 > 7","AND(3 < 5, 3 > 7)","false"
"Logical Functions","3 < 5 OR 3 > 7","OR(3 < 5, 3 > 7)","true"
"Logical Functions","Current month is before July","IF(MONTH(TODAY()) < 7, ""YES"", ""NO"")","NO"
